,estado,setor,faturamento_informado,divida_total_pj,score,taxa,atraso_corrente,prazo,valor_contrato,valor_contrato_mais_juros,valor_em_aberto
0,SP,ATACADO,400000.0,409000.0,167,4.347,0,12.6,44633.5995,51828.48,0.0
1,CE,VAREJO,150000.0,18000.0,135,5.124,0,12.6,8877.6555,10776.72,0.0
2,SP,INDUSTRIA DA CONSTRUCAO,60000.0,0.0,726,4.0635,0,12.6,16645.5975,19063.08,0.0
3,TO,VAREJO,60000.0,116000.0,298,4.6935,0,12.6,16739.0475,19877.28,0.0
4,RJ,VAREJO,1500000.0,1086000.0,525,4.2,0,12.6,112659.561,128793.72,0.0
5,DF,SERVICOS DE ALOJAMENTO/ALIMENTACAO,120000.0,0.0,333,4.7985,0,12.6,11097.366,13271.76,8685.14
6,BA,SERVICOS DE ALOJAMENTO/ALIMENTACAO,55000.0,0.0,591,4.788,1415,12.6,16645.8915,19883.76,19883.76
7,BA,INDUSTRIA DA CONSTRUCAO,150000.0,9000.0,470,4.5045,0,6.3,21632.7615,23191.14,0.0
8,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,25000.0,8000.0,434,4.809,0,12.6,15536.1255,18580.2,0.0
9,SC,VAREJO,18000.0,298.0,354,5.103,0,6.3,2163.315,2368.32,0.0
10,PE,VAREJO,45000.0,91000.0,607,4.767,0,12.6,22196.3805,26741.4,0.0
11,SP,ATACADO,1595490.0,11022000.0,765,3.612,1007,12.6,111599.4285,124777.68,27738.49
12,PR,VAREJO,28000.0,22000.0,166,5.355,38,12.6,5548.578,6831.36,0.0
13,MS,INDUSTRIA DA CONSTRUCAO,45000.0,96000.0,124,6.0585,1218,6.3,5409.054,6219.3,6219.3
14,SC,SIDERURGICA-METALURGIA,100000.0,39000.0,110,4.263,990,12.6,22195.4145,25855.56,16660.88
15,TO,SERVICOS ADMINISTRATIVOS,468000.0,330000.0,174,4.053,631,12.6,78113.385,89354.52,46309.26
16,SP,ATACADO,180000.0,19000.0,191,4.893,1060,6.3,21692.937,23325.36,3496.32
17,SP,SERVICOS PROFISSIONAIS E TECNICOS,723861.0,1413000.0,322,3.612,0,12.6,133910.9835,149476.32,0.0
18,PE,BENS DE CONSUMO,47915.0,9000.0,606,4.3995,1333,12.6,13316.6145,15555.24,7729.52
19,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,90000.0,76000.0,639,4.1895,1410,12.6,16646.2485,19274.4,15936.1
20,PA,VAREJO,28000.0,4000.0,454,5.082,0,12.6,13316.499,16137.36,0.0
21,MG,VAREJO,195000.0,435000.0,335,4.347,0,9.45,38504.025,42675.84,0.0
22,RJ,SERVICOS PROFISSIONAIS E TECNICOS,16000.0,0.0,540,4.788,0,12.6,6658.4595,7963.08,0.0
23,SP,VAREJO,100000.0,34000.0,249,4.557,0,12.6,22196.6325,26449.56,0.0
24,SP,VAREJO,500000.0,1826000.0,153,4.179,0,18.9,103142.361,128451.6,0.0
